n,p1max,p2max,p1min,p2min
1.0,10.000000000000002,9.000000000000002,7.999999999999998,6.000000000000001
2.0,18.8,15.6,15.799999999999999,11.6
3.0,26.58,20.64,23.4,16.88
4.0,33.833999999999996,24.756,30.86,21.944
5.0,40.8964,28.362400000000008,38.22,26.867199999999997
6.0,47.899820000000005,31.712959999999992,45.504799999999996,31.69936
7.0,54.887162,34.945584,52.73136000000001,36.472768
8.0,61.87059359999999,38.1263536,59.912096000000005,41.2082784
9.0,68.85319545996799,41.28497744,67.05647999999998,45.91934592
10.0,75.83565617792,44.434321776000004,74.17190527999999,50.614648896
11.0,82.818104406784,47.5798279504,81.26421273600002,55.299784524799996
12.0,89.80055627097602,50.723760952192,88.33804559360001,59.97836273024001
